Word,Friend,Score
ethos,ethos,100
etnograf,etnograaf,94
etnografia,etnografica,95
etnolog,etnoloog,93
etui,etui,100
etymolog,etymoloog,94
etymologia,etymologica,95
eudiometr,eudiometer,95
eunuch,eunuch,100
eureka,eureka,100
euro,euro,100
eurocent,eurocent,100
eurodolar,eurodollar,95
evergreen,evergreen,100
excellence,excellence,100
excelsior,excelsior,100
exequatur,exequatur,100
exodium,exordium,93
exodus,exodus,100
expanded,expanded,100
expat,expat,100
expedite,expeditie,94
explicit,expliciet,94
explicite,explicite,100
explorer,exploreer,94
expres,expres,100
expressis,expressies,95
exsequatur,exequaturs,90
extended,extended,100
extenso,extenso,100
extra,extra,100
extranet,extranet,100
extremis,extremis,100
eyeliner,eyeliner,100
face,face,100
facet,facet,100
facies,facies,100
facile,faciele,92
facsimile,facsimile,100
facti,factie,91
facto,facto,100
factoring,factoring,100
factum,factum,100
fading,fading,100
fado,fado,100
faeton,faëton,91
fagocyt,fagocyt,100
fagot,fagot,100
fair,fair,100
fakel,fakkel,91
fakir,fakir,100
falafel,falafel,100
fallus,fallus,100
falset,falset,100
fames,fameus,91
familia,familias,93
familias,familias,100
fandango,fandango,100
fantasy,fantasy,100
fantom,fantoom,92
farad,farad,100
farm,farm,100
farma,farma,100
farmer,farmer,100
fastback,fastback,100
fata,fata,100
fatale,fatale,100
fatum,fatum,100
fatwa,fatwa,100
faun,faun,100
fauna,fauna,100
faux,faux,100
favela,favela,100
favorit,favoriet,93
faxmodem,faxmodem,100
feedback,feedback,100
feler,feller,91
